Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Nearest Neighbor,Friday,06:00-09:00,20,3,120,54,56
Greedy Demand,Friday,06:00-09:00,20,3,120,90,41
Nearest Neighbor,Friday,06:00-09:00,20,4,120,64,71
Greedy Demand,Friday,06:00-09:00,20,4,120,105,55
Nearest Neighbor,Friday,06:00-09:00,20,5,120,75,88
Greedy Demand,Friday,06:00-09:00,20,5,120,121,71
Nearest Neighbor,Friday,06:00-09:00,20,1,150,25,25
Greedy Demand,Friday,06:00-09:00,20,1,150,44,17
Nearest Neighbor,Friday,06:00-09:00,20,2,150,43,48
Greedy Demand,Friday,06:00-09:00,20,2,150,76,36
Nearest Neighbor,Friday,06:00-09:00,20,3,150,63,71
Greedy Demand,Friday,06:00-09:00,20,3,150,96,52
Nearest Neighbor,Friday,06:00-09:00,20,4,150,79,91
Greedy Demand,Friday,06:00-09:00,20,4,150,116,72
Nearest Neighbor,Friday,06:00-09:00,20,5,150,97,109
Greedy Demand,Friday,06:00-09:00,20,5,150,128,87
Nearest Neighbor,Friday,06:00-09:00,20,1,180,32,30
Greedy Demand,Friday,06:00-09:00,20,1,180,44,21
Nearest Neighbor,Friday,06:00-09:00,20,2,180,52,56
Greedy Demand,Friday,06:00-09:00,20,2,180,77,41
Nearest Neighbor,Friday,06:00-09:00,20,3,180,76,85
Greedy Demand,Friday,06:00-09:00,20,3,180,102,66
Nearest Neighbor,Friday,06:00-09:00,20,4,180,93,109
Greedy Demand,Friday,06:00-09:00,20,4,180,120,86
Nearest Neighbor,Friday,06:00-09:00,20,5,180,125,129
Greedy Demand,Friday,06:00-09:00,20,5,180,123,104
Nearest Neighbor,Friday,06:00-09:00,40,1,60,10,10
Greedy Demand,Friday,06:00-09:00,40,1,60,12,3
Nearest Neighbor,Friday,06:00-09:00,40,2,60,22,20
Greedy Demand,Friday,06:00-09:00,40,2,60,27,9
Nearest Neighbor,Friday,06:00-09:00,40,3,60,31,28
Greedy Demand,Friday,06:00-09:00,40,3,60,34,12
Nearest Neighbor,Friday,06:00-09:00,40,4,60,37,36
Greedy Demand,Friday,06:00-09:00,40,4,60,50,20
Nearest Neighbor,Friday,06:00-09:00,40,5,60,44,44
Greedy Demand,Friday,06:00-09:00,40,5,60,64,27
Nearest Neighbor,Friday,06:00-09:00,40,1,90,16,15
Greedy Demand,Friday,06:00-09:00,40,1,90,24,7
Nearest Neighbor,Friday,06:00-09:00,40,2,90,30,29
Greedy Demand,Friday,06:00-09:00,40,2,90,48,19
Nearest Neighbor,Friday,06:00-09:00,40,3,90,40,42
Greedy Demand,Friday,06:00-09:00,40,3,90,70,30
Nearest Neighbor,Friday,06:00-09:00,40,4,90,49,55
Greedy Demand,Friday,06:00-09:00,40,4,90,86,39
Nearest Neighbor,Friday,06:00-09:00,40,5,90,58,65
Greedy Demand,Friday,06:00-09:00,40,5,90,98,49
Nearest Neighbor,Friday,06:00-09:00,40,1,120,21,20
Greedy Demand,Friday,06:00-09:00,40,1,120,34,12
Nearest Neighbor,Friday,06:00-09:00,40,2,120,38,38
Greedy Demand,Friday,06:00-09:00,40,2,120,65,28
Nearest Neighbor,Friday,06:00-09:00,40,3,120,54,56
Greedy Demand,Friday,06:00-09:00,40,3,120,90,41
Nearest Neighbor,Friday,06:00-09:00,40,4,120,64,71
Greedy Demand,Friday,06:00-09:00,40,4,120,105,55
Nearest Neighbor,Friday,06:00-09:00,40,5,120,75,88
Greedy Demand,Friday,06:00-09:00,40,5,120,121,71
Nearest Neighbor,Friday,06:00-09:00,40,1,150,25,25
Greedy Demand,Friday,06:00-09:00,40,1,150,44,17
Nearest Neighbor,Friday,06:00-09:00,40,2,150,43,48
Greedy Demand,Friday,06:00-09:00,40,2,150,82,36
Nearest Neighbor,Friday,06:00-09:00,40,3,150,65,71
Greedy Demand,Friday,06:00-09:00,40,3,150,102,52
Nearest Neighbor,Friday,06:00-09:00,40,4,150,81,91
Greedy Demand,Friday,06:00-09:00,40,4,150,122,72
Nearest Neighbor,Friday,06:00-09:00,40,5,150,99,109
Greedy Demand,Friday,06:00-09:00,40,5,150,134,87
Nearest Neighbor,Friday,06:00-09:00,40,1,180,32,30
Greedy Demand,Friday,06:00-09:00,40,1,180,52,21
Nearest Neighbor,Friday,06:00-09:00,40,2,180,52,56
Greedy Demand,Friday,06:00-09:00,40,2,180,91,41
Nearest Neighbor,Friday,06:00-09:00,40,3,180,81,85
Greedy Demand,Friday,06:00-09:00,40,3,180,116,66
Nearest Neighbor,Friday,06:00-09:00,40,4,180,98,109
Greedy Demand,Friday,06:00-09:00,40,4,180,134,86
Nearest Neighbor,Friday,06:00-09:00,40,5,180,130,129
Greedy Demand,Friday,06:00-09:00,40,5,180,137,104
Nearest Neighbor,Saturday,06:00-09:00,20,1,60,10,10
Greedy Demand,Saturday,06:00-09:00,20,1,60,13,5
Nearest Neighbor,Saturday,06:00-09:00,20,2,60,18,20
Greedy Demand,Saturday,06:00-09:00,20,2,60,22,9
Nearest Neighbor,Saturday,06:00-09:00,20,3,60,25,28
Greedy Demand,Saturday,06:00-09:00,20,3,60,37,17
Nearest Neighbor,Saturday,06:00-09:00,20,4,60,31,36
Greedy Demand,Saturday,06:00-09:00,20,4,60,48,23
Nearest Neighbor,Saturday,06:00-09:00,20,5,60,39,44
Greedy Demand,Saturday,06:00-09:00,20,5,60,60,29
Nearest Neighbor,Saturday,06:00-09:00,20,1,90,14,15
Greedy Demand,Saturday,06:00-09:00,20,1,90,16,6
Nearest Neighbor,Saturday,06:00-09:00,20,2,90,26,29
Greedy Demand,Saturday,06:00-09:00,20,2,90,40,18
Nearest Neighbor,Saturday,06:00-09:00,20,3,90,40,42
Greedy Demand,Saturday,06:00-09:00,20,3,90,60,28
Nearest Neighbor,Saturday,06:00-09:00,20,4,90,50,55
Greedy Demand,Saturday,06:00-09:00,20,4,90,67,32
Nearest Neighbor,Saturday,06:00-09:00,20,5,90,55,65
Greedy Demand,Saturday,06:00-09:00,20,5,90,71,35
Nearest Neighbor,Saturday,06:00-09:00,20,1,120,16,20
Greedy Demand,Saturday,06:00-09:00,20,1,120,20,11
Nearest Neighbor,Saturday,06:00-09:00,20,2,120,34,38
Greedy Demand,Saturday,06:00-09:00,20,2,120,44,27
Nearest Neighbor,Saturday,06:00-09:00,20,3,120,49,56
Greedy Demand,Saturday,06:00-09:00,20,3,120,56,34
Nearest Neighbor,Saturday,06:00-09:00,20,4,120,57,71
Greedy Demand,Saturday,06:00-09:00,20,4,120,73,51
Nearest Neighbor,Saturday,06:00-09:00,20,5,120,72,88
Greedy Demand,Saturday,06:00-09:00,20,5,120,87,65
Nearest Neighbor,Saturday,06:00-09:00,20,1,150,21,25
Greedy Demand,Saturday,06:00-09:00,20,1,150,20,15
Nearest Neighbor,Saturday,06:00-09:00,20,2,150,43,48
Greedy Demand,Saturday,06:00-09:00,20,2,150,44,33
Nearest Neighbor,Saturday,06:00-09:00,20,3,150,64,71
Greedy Demand,Saturday,06:00-09:00,20,3,150,59,46
Nearest Neighbor,Saturday,06:00-09:00,20,4,150,74,91
Greedy Demand,Saturday,06:00-09:00,20,4,150,79,66
Nearest Neighbor,Saturday,06:00-09:00,20,5,150,93,109
Greedy Demand,Saturday,06:00-09:00,20,5,150,93,81
Nearest Neighbor,Saturday,06:00-09:00,20,1,180,26,30
Greedy Demand,Saturday,06:00-09:00,20,1,180,20,20
Nearest Neighbor,Saturday,06:00-09:00,20,2,180,50,56
Greedy Demand,Saturday,06:00-09:00,20,2,180,45,35
Nearest Neighbor,Saturday,06:00-09:00,20,3,180,72,85
Greedy Demand,Saturday,06:00-09:00,20,3,180,70,60
Nearest Neighbor,Saturday,06:00-09:00,20,4,180,88,109
Greedy Demand,Saturday,06:00-09:00,20,4,180,88,81
Nearest Neighbor,Saturday,06:00-09:00,20,5,180,106,129
Greedy Demand,Saturday,06:00-09:00,20,5,180,91,104
Nearest Neighbor,Saturday,06:00-09:00,40,1,60,10,10
Greedy Demand,Saturday,06:00-09:00,40,1,60,13,5
Nearest Neighbor,Saturday,06:00-09:00,40,2,60,18,20
Greedy Demand,Saturday,06:00-09:00,40,2,60,22,9
Nearest Neighbor,Saturday,06:00-09:00,40,3,60,25,28
Greedy Demand,Saturday,06:00-09:00,40,3,60,37,17
Nearest Neighbor,Saturday,06:00-09:00,40,4,60,31,36
Greedy Demand,Saturday,06:00-09:00,40,4,60,48,23
Nearest Neighbor,Saturday,06:00-09:00,40,5,60,39,44
Greedy Demand,Saturday,06:00-09:00,40,5,60,60,29
Nearest Neighbor,Saturday,06:00-09:00,40,1,90,14,15
Greedy Demand,Saturday,06:00-09:00,40,1,90,16,6
Nearest Neighbor,Saturday,06:00-09:00,40,2,90,26,29
Greedy Demand,Saturday,06:00-09:00,40,2,90,40,18
Nearest Neighbor,Saturday,06:00-09:00,40,3,90,40,42
Greedy Demand,Saturday,06:00-09:00,40,3,90,60,28
Nearest Neighbor,Saturday,06:00-09:00,40,4,90,50,55
Greedy Demand,Saturday,06:00-09:00,40,4,90,67,32
Nearest Neighbor,Saturday,06:00-09:00,40,5,90,55,65
Greedy Demand,Saturday,06:00-09:00,40,5,90,71,35
Nearest Neighbor,Saturday,06:00-09:00,40,1,120,16,20
Greedy Demand,Saturday,06:00-09:00,40,1,120,26,11
Nearest Neighbor,Saturday,06:00-09:00,40,2,120,34,38
Greedy Demand,Saturday,06:00-09:00,40,2,120,58,27
Nearest Neighbor,Saturday,06:00-09:00,40,3,120,49,56
Greedy Demand,Saturday,06:00-09:00,40,3,120,70,34
Nearest Neighbor,Saturday,06:00-09:00,40,4,120,57,71
Greedy Demand,Saturday,06:00-09:00,40,4,120,87,51
Nearest Neighbor,Saturday,06:00-09:00,40,5,120,72,88
Greedy Demand,Saturday,06:00-09:00,40,5,120,101,65
Nearest Neighbor,Saturday,06:00-09:00,40,1,150,21,25
Greedy Demand,Saturday,06:00-09:00,40,1,150,34,15
Nearest Neighbor,Saturday,06:00-09:00,40,2,150,43,48
Greedy Demand,Saturday,06:00-09:00,40,2,150,66,33
Nearest Neighbor,Saturday,06:00-09:00,40,3,150,64,71
Greedy Demand,Saturday,06:00-09:00,40,3,150,81,46
Nearest Neighbor,Saturday,06:00-09:00,40,4,150,74,91
Greedy Demand,Saturday,06:00-09:00,40,4,150,101,66
Nearest Neighbor,Saturday,06:00-09:00,40,5,150,93,109
Greedy Demand,Saturday,06:00-09:00,40,5,150,115,81
Nearest Neighbor,Saturday,06:00-09:00,40,1,180,26,30
Greedy Demand,Saturday,06:00-09:00,40,1,180,40,20
Nearest Neighbor,Saturday,06:00-09:00,40,2,180,51,56
Greedy Demand,Saturday,06:00-09:00,40,2,180,67,35
Nearest Neighbor,Saturday,06:00-09:00,40,3,180,74,85
Greedy Demand,Saturday,06:00-09:00,40,3,180,92,60
Nearest Neighbor,Saturday,06:00-09:00,40,4,180,90,109
Greedy Demand,Saturday,06:00-09:00,40,4,180,110,81
Nearest Neighbor,Saturday,06:00-09:00,40,5,180,108,129
Greedy Demand,Saturday,06:00-09:00,40,5,180,113,104
Nearest Neighbor,Sunday,06:00-09:00,20,1,60,11,10
Greedy Demand,Sunday,06:00-09:00,20,1,60,20,6
Nearest Neighbor,Sunday,06:00-09:00,20,2,60,23,20
Greedy Demand,Sunday,06:00-09:00,20,2,60,36,13
Nearest Neighbor,Sunday,06:00-09:00,20,3,60,32,28
Greedy Demand,Sunday,06:00-09:00,20,3,60,50,20
Nearest Neighbor,Sunday,06:00-09:00,20,4,60,44,36
Greedy Demand,Sunday,06:00-09:00,20,4,60,64,27
Nearest Neighbor,Sunday,06:00-09:00,20,5,60,53,44
Greedy Demand,Sunday,06:00-09:00,20,5,60,74,32
Nearest Neighbor,Sunday,06:00-09:00,20,1,90,16,15
Greedy Demand,Sunday,06:00-09:00,20,1,90,20,9
Nearest Neighbor,Sunday,06:00-09:00,20,2,90,38,29
Greedy Demand,Sunday,06:00-09:00,20,2,90,45,22
Nearest Neighbor,Sunday,06:00-09:00,20,3,90,46,42
Greedy Demand,Sunday,06:00-09:00,20,3,90,65,32
Nearest Neighbor,Sunday,06:00-09:00,20,4,90,58,55
Greedy Demand,Sunday,06:00-09:00,20,4,90,76,38
Nearest Neighbor,Sunday,06:00-09:00,20,5,90,64,65
Greedy Demand,Sunday,06:00-09:00,20,5,90,82,41
Nearest Neighbor,Sunday,06:00-09:00,20,1,120,21,20
Greedy Demand,Sunday,06:00-09:00,20,1,120,22,13
Nearest Neighbor,Sunday,06:00-09:00,20,2,120,45,38
Greedy Demand,Sunday,06:00-09:00,20,2,120,50,28
Nearest Neighbor,Sunday,06:00-09:00,20,3,120,61,56
Greedy Demand,Sunday,06:00-09:00,20,3,120,68,37
Nearest Neighbor,Sunday,06:00-09:00,20,4,120,69,71
Greedy Demand,Sunday,06:00-09:00,20,4,120,80,46
Nearest Neighbor,Sunday,06:00-09:00,20,5,120,81,88
Greedy Demand,Sunday,06:00-09:00,20,5,120,95,61
Nearest Neighbor,Sunday,06:00-09:00,20,1,150,32,25
Greedy Demand,Sunday,06:00-09:00,20,1,150,28,19
Nearest Neighbor,Sunday,06:00-09:00,20,2,150,48,48
Greedy Demand,Sunday,06:00-09:00,20,2,150,52,35
Nearest Neighbor,Sunday,06:00-09:00,20,3,150,69,71
Greedy Demand,Sunday,06:00-09:00,20,3,150,69,47
Nearest Neighbor,Sunday,06:00-09:00,20,4,150,82,91
Greedy Demand,Sunday,06:00-09:00,20,4,150,88,67
Nearest Neighbor,Sunday,06:00-09:00,20,5,150,102,109
Greedy Demand,Sunday,06:00-09:00,20,5,150,103,83
Nearest Neighbor,Sunday,06:00-09:00,20,1,180,32,30
Greedy Demand,Sunday,06:00-09:00,20,1,180,28,23
Nearest Neighbor,Sunday,06:00-09:00,20,2,180,52,56
Greedy Demand,Sunday,06:00-09:00,20,2,180,56,41
Nearest Neighbor,Sunday,06:00-09:00,20,3,180,77,85
Greedy Demand,Sunday,06:00-09:00,20,3,180,78,60
Nearest Neighbor,Sunday,06:00-09:00,20,4,180,92,109
Greedy Demand,Sunday,06:00-09:00,20,4,180,99,82
Nearest Neighbor,Sunday,06:00-09:00,20,5,180,112,129
Greedy Demand,Sunday,06:00-09:00,20,5,180,100,106
Nearest Neighbor,Sunday,06:00-09:00,40,1,60,11,10
Greedy Demand,Sunday,06:00-09:00,40,1,60,33,6
Nearest Neighbor,Sunday,06:00-09:00,40,2,60,23,20
Greedy Demand,Sunday,06:00-09:00,40,2,60,49,13
Nearest Neighbor,Sunday,06:00-09:00,40,3,60,32,28
Greedy Demand,Sunday,06:00-09:00,40,3,60,63,20
Nearest Neighbor,Sunday,06:00-09:00,40,4,60,44,36
Greedy Demand,Sunday,06:00-09:00,40,4,60,77,27
Nearest Neighbor,Sunday,06:00-09:00,40,5,60,53,44
Greedy Demand,Sunday,06:00-09:00,40,5,60,87,32
Nearest Neighbor,Sunday,06:00-09:00,40,1,90,16,15
Greedy Demand,Sunday,06:00-09:00,40,1,90,40,9
Nearest Neighbor,Sunday,06:00-09:00,40,2,90,38,29
Greedy Demand,Sunday,06:00-09:00,40,2,90,65,22
Nearest Neighbor,Sunday,06:00-09:00,40,3,90,46,42
Greedy Demand,Sunday,06:00-09:00,40,3,90,85,32
Nearest Neighbor,Sunday,06:00-09:00,40,4,90,58,55
Greedy Demand,Sunday,06:00-09:00,40,4,90,96,38
Nearest Neighbor,Sunday,06:00-09:00,40,5,90,64,65
Greedy Demand,Sunday,06:00-09:00,40,5,90,102,41
Nearest Neighbor,Sunday,06:00-09:00,40,1,120,21,20
Greedy Demand,Sunday,06:00-09:00,40,1,120,42,13
Nearest Neighbor,Sunday,06:00-09:00,40,2,120,45,38
Greedy Demand,Sunday,06:00-09:00,40,2,120,72,28
Nearest Neighbor,Sunday,06:00-09:00,40,3,120,61,56
Greedy Demand,Sunday,06:00-09:00,40,3,120,90,37
Nearest Neighbor,Sunday,06:00-09:00,40,4,120,69,71
Greedy Demand,Sunday,06:00-09:00,40,4,120,102,46
Nearest Neighbor,Sunday,06:00-09:00,40,5,120,81,88
Greedy Demand,Sunday,06:00-09:00,40,5,120,117,61
Nearest Neighbor,Sunday,06:00-09:00,40,1,150,32,25
Greedy Demand,Sunday,06:00-09:00,40,1,150,48,19
Nearest Neighbor,Sunday,06:00-09:00,40,2,150,48,48
Greedy Demand,Sunday,06:00-09:00,40,2,150,80,35
Nearest Neighbor,Sunday,06:00-09:00,40,3,150,69,71
Greedy Demand,Sunday,06:00-09:00,40,3,150,97,47
Nearest Neighbor,Sunday,06:00-09:00,40,4,150,82,91
Greedy Demand,Sunday,06:00-09:00,40,4,150,116,67
Nearest Neighbor,Sunday,06:00-09:00,40,5,150,102,109
Greedy Demand,Sunday,06:00-09:00,40,5,150,131,83
Nearest Neighbor,Sunday,06:00-09:00,40,1,180,38,30
Greedy Demand,Sunday,06:00-09:00,40,1,180,48,23
Nearest Neighbor,Sunday,06:00-09:00,40,2,180,58,56
Greedy Demand,Sunday,06:00-09:00,40,2,180,81,41
Nearest Neighbor,Sunday,06:00-09:00,40,3,180,83,85
Greedy Demand,Sunday,06:00-09:00,40,3,180,103,60
Nearest Neighbor,Sunday,06:00-09:00,40,4,180,98,109
Greedy Demand,Sunday,06:00-09:00,40,4,180,124,82
Nearest Neighbor,Sunday,06:00-09:00,40,5,180,118,129
Greedy Demand,Sunday,06:00-09:00,40,5,180,125,106
