Algorithm,Day,Time,Capacity,Trucks,Time_Limit_Mins,Total_Satisfied,Stations_Visited
Nearest Neighbor,Monday,06:00-09:00,40,5,150,98,109
Greedy Demand,Monday,06:00-09:00,40,5,150,126,83
Nearest Neighbor,Monday,06:00-09:00,40,1,180,31,30
Greedy Demand,Monday,06:00-09:00,40,1,180,35,13
Nearest Neighbor,Monday,06:00-09:00,40,2,180,51,56
Greedy Demand,Monday,06:00-09:00,40,2,180,76,34
Nearest Neighbor,Monday,06:00-09:00,40,3,180,82,85
Greedy Demand,Monday,06:00-09:00,40,3,180,102,59
Nearest Neighbor,Monday,06:00-09:00,40,4,180,98,109
Greedy Demand,Monday,06:00-09:00,40,4,180,126,83
Nearest Neighbor,Monday,06:00-09:00,40,5,180,124,129
Greedy Demand,Monday,06:00-09:00,40,5,180,132,98
Nearest Neighbor,Tuesday,06:00-09:00,20,1,60,10,10
Greedy Demand,Tuesday,06:00-09:00,20,1,60,14,4
Nearest Neighbor,Tuesday,06:00-09:00,20,2,60,23,20
Greedy Demand,Tuesday,06:00-09:00,20,2,60,32,10
Nearest Neighbor,Tuesday,06:00-09:00,20,3,60,30,28
Greedy Demand,Tuesday,06:00-09:00,20,3,60,39,13
Nearest Neighbor,Tuesday,06:00-09:00,20,4,60,40,36
Greedy Demand,Tuesday,06:00-09:00,20,4,60,55,21
Nearest Neighbor,Tuesday,06:00-09:00,20,5,60,52,44
Greedy Demand,Tuesday,06:00-09:00,20,5,60,67,27
Nearest Neighbor,Tuesday,06:00-09:00,20,1,90,17,15
Greedy Demand,Tuesday,06:00-09:00,20,1,90,23,7
Nearest Neighbor,Tuesday,06:00-09:00,20,2,90,33,29
Greedy Demand,Tuesday,06:00-09:00,20,2,90,49,18
Nearest Neighbor,Tuesday,06:00-09:00,20,3,90,42,42
Greedy Demand,Tuesday,06:00-09:00,20,3,90,71,29
Nearest Neighbor,Tuesday,06:00-09:00,20,4,90,62,55
Greedy Demand,Tuesday,06:00-09:00,20,4,90,89,38
